;distrteg;v1_btravdist;v1_btravmtp;mode;poids_qind1
17239;9.4;13.0;3.30;3;230.52776305
17241;6.4;6.0;4.43;4;256.60592567
17242;49.7;55.0;3.30;3;72.837270237
17243;22.6;22.0;3.30;3;73.232891063
17244;9.4;10.0;2.22;2;84.893211314
17245;6.4;7.0;4.43;4;56.339561345
17246;6.5;8.0;3.31;3;398.02515261
17247;26.0;34.0;3.31;3;402.73634634
17248;;1.5;3.32;3;398.0336716
17249;4.6;3.0;3.32;3;398.0336716
17250;;11.0;3.30;3;119.28849977
17251;;4.0;3.30;3;119.93642376
17253;6.5;7.0;3.31;3;115.04012055
17254;6.5;7.0;3.32;3;115.66496917
17255;;1.8;2.20;2;103.23939961
17256;6.5;8.0;3.30;3;103.80015176
17257;6.5;8.0;3.32;3;199.19548227
17258;23.8;30.0;3.30;3;143.90072665
17259;;40.0;3.30;3;145.5645114
17260;0.0;1.0;1.10;1;117.71521792
17261;0.0;1.0;1.10;1;143.86478264
17262;;;;;143.86050734
17263;10.9;8.0;3.30;3;153.2525252
17264;5.4;8.0;3.30;3;155.02443574
17265;0.0;3.0;3.32;3;250.73055321
17266;0.0;3.0;3.32;3;153.21424527
17267;5.4;6.0;3.32;3;96.985450627
17268;;27.0;3.32;3;96.435354545
17269;;;;;104.33850956
17270;;18.0;3.30;3;104.90523161
17271;26.6;40.0;3.30;3;96.966934604
17273;23.8;25.0;3.31;3;98.114676175
17274;0.0;0.5;1.10;1;96.969010001
17275;8.4;7.0;3.32;3;96.969010001
17276;8.4;4.0;3.30;3;75.009000612
17277;5.4;10.0;3.30;3;75.416417346
